distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	distriname	casos
2280	R1-001	30	2.0A	C3	5	10	10	0	0	320.0	0.0	0.0	0	0	0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37446,38171,38317,39243,39663,39737,40069,40207,40518,41612
2280	R1-001	31	2.0A	C3	5	18	18	0	0	526.0	0.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37401,37776,37892,38630,38732,38733,39269,39682,39782,40249,40260,40475,40537,40605,40633,41054,41106,42294
2280	R1-001	31	2.0DHA	C3	5	1	1	0	0	17.0	0.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41651
2280	R1-001	31	2.0DHS	C3	5	1	1	0	0	26.0	0.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39095
2280	R1-001	34	2.0A	C3	5	2	2	0	0	31.0	0.0	0.0	0	0	0	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40199,41122
2280	R1-001	34	2.0DHA	C3	5	1	1	0	0	9.0	0.0	0.0	0	0	0	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40926
2280	R1-001	37	3.0A	C3	4	1	1	0	0	22.0	0.0	0.0	0	0	0	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40133
2280	R1-001	39	2.0A	C3	5	1	1	0	0	25.0	0.0	0.0	0	0	0	Cantabria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39072
2280	R1-001	45	2.0A	C3	5	3	3	0	0	63.0	0.0	0.0	0	0	0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39677,39794,41092
2280	R1-001	46	2.0A	C3	5	78	78	0	0	1773.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37745,37746,37852,38185,38268,38662,38738,38751,38759,38772,38780,38800,38801,38807,38832,39087,39091,39104,39107,39129,39203,39220,39244,39245,39769,39775,39777,39833,39838,39841,39847,39857,40066,40086,40127,40131,40138,40139,40155,40156,40182,40191,40193,40194,40209,40210,40211,40213,40220,40469,40493,40519,40546,40552,40608,40629,40631,40635,40726,40961,41011,41012,41026,41071,41088,41157,41627,41667,41728,41853,41934,41941,42023,42025,42116,42139,42379,42471
2280	R1-001	46	2.0DHA	C3	5	4	4	0	0	111.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37896,38746,40154,40504
2280	R1-001	46	2.1DHA	C3	5	1	1	0	0	23.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40498
2280	R1-001	46	3.0A	C3	4	1	1	0	0	22.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40214
2280	R1-001	47	2.0A	C3	5	2	2	0	0	83.0	0.0	0.0	0	0	0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38684,38688
2280	R1-001	48	2.0A	C3	5	7	7	0	0	132.0	0.0	0.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38618,39740,39764,40123,40124,41115,41590
2280	R1-001	48	2.0DHA	C3	5	1	1	0	0	18.0	0.0	0.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39823
2280	R1-001	48	3.0A	C3	4	1	1	0	0	24.0	0.0	0.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39671
2280	R1-001	None	2.0A	C3	5	1	1	0	0	3.0	0.0	0.0	0	0	0	None	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41010
5887	R1-061	20	2.0A	C3	5	1	1	0	0	18.0	0.0	0.0	0	0	0	Gipuzkoa	OÑARGI	39493
6298	R1-021	11	2.0A	C3	5	1	1	0	0	17.0	0.0	0.0	0	0	0	Cádiz	SUMINISTRADORA ELECTRICA DE CADIZ, S.A.	40454
2402	R1-062	17	2.0A	C3	5	4	4	0	0	123.0	0.0	0.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	37339,38614,39219,39226
2402	R1-062	17	2.1A	C3	5	1	1	0	0	29.0	0.0	0.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	38669
2316	R1-002	13	2.0A	C3	5	2	2	0	0	31.0	0.0	0.0	0	0	0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	39250,40520
