distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
3223	R1-176	17	2.0A	C3	5	1	0	0	1	0.0	0.0	701.0	0	0	0	Girona	ELÉCTRICA DE JAFRE, S.A.	929	True
3245	R1-019	43	2.0A	C3	5	2	0	0	2	0.0	0.0	1407.0	0	0	0	Tarragona	ELECTRICA DEL EBRO, S.A.	431,1734	True
3695	R1-009	16	2.0A	C3	5	3	0	0	3	0.0	0.0	999.0	0	0	0	Cuenca	ELECTRICA CONQUENSE, S.A.	12864,13229,39797	True
3695	R1-009	16	2.1DHA	C3	5	1	0	0	1	0.0	0.0	532.0	0	0	0	Cuenca	ELECTRICA CONQUENSE, S.A.	8279	True
3695	R1-009	16	3.0A	C3	4	1	0	0	1	0.0	0.0	403.0	0	0	0	Cuenca	ELECTRICA CONQUENSE, S.A.	15831	True
3723	R1-026	50	2.0A	C3	5	1	0	0	1	0.0	0.0	374.0	0	0	0	Zaragoza	DISTRIBUCIÓN EASA	17475	True
3742	R1-003	27	2.0A	C3	5	3	1	1	1	4.0	11.0	739.0	0	0	0	Lugo	DISTRIBUCIÓN BEGASA	110,42044,42368	True
3742	R1-003	27	2.1DHA	C3	5	1	0	0	1	0.0	0.0	410.0	0	0	0	Lugo	DISTRIBUCIÓN BEGASA	15544	True
3742	R1-003	27	3.0A	C3	4	1	1	0	0	4.0	0.0	0.0	0	0	0	Lugo	DISTRIBUCIÓN BEGASA	42404	True
3831	None	50	2.0A	C3	5	1	0	0	1	0.0	0.0	532.0	0	0	0	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	8271	True
4634	R1-099	17	2.0A	C3	5	1	0	0	1	0.0	0.0	221.0	0	0	0	Girona	ELECTRICITAT L' AURORA, S.A.	27905	True
4634	R1-099	17	2.0DHA	C3	5	1	0	0	1	0.0	0.0	291.0	0	0	0	Girona	ELECTRICITAT L' AURORA, S.A.	23750	True
6261	R1-304	25	2.0A	C3	5	1	0	0	1	0.0	0.0	387.0	0	0	0	Lleida	HIDROFLAMICELL, S.L.	16717	True
6298	R1-021	11	2.0A	C3	5	2	0	0	2	0.0	0.0	1219.0	0	0	0	Cádiz	SUMINISTRADORA ELECTRICA DE CADIZ, S.A.	1815,7043	True
7898	R1-017	12	2.0A	C3	5	1	0	0	1	0.0	0.0	438.0	0	0	0	Castelló	ELECTRA DEL MAESTRAZGO, S.A. IB	14486	True
10501	R1-279	25	2.0A	C3	5	3	0	0	3	0.0	0.0	1187.0	0	0	0	Lleida	ELECTRICA DEL MONTSEC, S.L.	13164,13424,25891	True
12849	R1-085	17	2.0A	C3	5	2	0	0	2	0.0	0.0	564.0	0	0	0	Girona	CENTRAL ELÉCTRICA MITJANS, S.L.	24230,24233	True
13288	None	46	2.0A	C3	5	3	0	0	3	0.0	0.0	1417.0	0	0	0	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	9313,13982,14345	True
17132	R1-090	09	2.0A	C3	5	1	0	0	1	0.0	0.0	625.0	0	0	0	Burgos	Electra Aduriz, S.A.	3558	True
40013	R1-025	14	2.0A	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	Córdoba	INDUSTRIAS PECUARIAS DE LOS PEDROCHES, S.A.	41672	True
