distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
17073	R1-227	26	2.0A	C3	5	1	La Rioja	RUIZ DE LA TORRE, S.L.	8268
3831	R1-315	50	2.0A	C3	5	3	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	8271,8833,8834
2402	R1-062	17	2.0A	C3	5	1	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	9125
2316	R1-002	13	2.0A	C3	5	2	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7613,8638
2316	R1-002	15	2.0A	C3	5	9	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8281,8345,8346,8347,8348,8349,8598,9180,9230
2316	R1-002	15	2.0DHA	C3	5	2	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7455,7850
2316	R1-002	19	2.0A	C3	5	1	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8411
2316	R1-002	19	2.0DHA	C3	5	1	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8533
2316	R1-002	24	2.0A	C3	5	2	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7416,9219
2316	R1-002	28	2.0A	C3	5	39	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7404,7408,7438,7463,7485,7527,7541,7547,7575,7646,7718,7849,7873,7893,7922,7951,7983,8275,8276,8277,8369,8417,8482,8483,8500,8528,8539,8582,9016,9043,9053,9173,9218,9223,9236,9273,9276,9278,9327
2316	R1-002	28	2.0DHA	C3	5	3	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8008,9261,9295
2316	R1-002	28	2.1A	C3	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8280
2316	R1-002	28	2.1DHA	C3	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8429
2316	R1-002	32	2.0A	C3	5	1	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7594
2316	R1-002	36	2.0A	C3	5	5	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7623,7624,8344,9116,9184
2316	R1-002	36	3.0A	C3	4	1	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7606
2316	R1-002	40	2.0A	C3	5	1	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8370
